date,home_team,away_team,home_elo,away_elo
2019-1,HJK,FC Inter,1510.8,1489.2
2019-10,KPV,RoPS,1480.8,1519.2
2019-100,KPV,KuPS,1492.4,1488.4
2019-101,RoPS,FC Inter,1498.8,1509.6
2019-102,VPS,FC Honka,1480.8,1519.2
2019-103,FC Lahti,KPV,1510.5,1481.9
2019-104,Ilves,RoPS,1495.8,1503.1
2019-105,KuPS,HIFK,1484.7,1503.7
2019-106,FC Inter,IFK Mariehamn,1520.0,1489.6
2019-107,HIFK,KPV,1513.7,1471.9
2019-108,FC Honka,SJK,1514.2,1505.0
2019-109,HJK,FC Lahti,1521.6,1499.7
2019-11,KuPS,HJK,1482.0,1524.3
2019-110,KuPS,FC Inter,1494.3,1507.6
2019-111,IFK Mariehamn,Ilves,1470.6,1514.7
2019-112,RoPS,VPS,1513.0,1470.9
2019-113,SJK,IFK Mariehamn,1484.4,1491.2
2019-114,FC Inter,HIFK,1518.7,1502.6
2019-115,Ilves,KuPS,1494.7,1514.3
2019-116,KPV,HJK,1484.9,1511.3
2019-117,FC Lahti,FC Honka,1511.1,1502.9
2019-118,SJK,RoPS,1481.4,1516.1
2019-119,VPS,IFK Mariehamn,1482.5,1479.5
2019-12,Ilves,VPS,1490.0,1487.2
2019-120,HIFK,Ilves,1497.9,1494.7
2019-121,FC Honka,HJK,1484.0,1530.2
2019-122,KuPS,VPS,1524.1,1477.4
2019-123,IFK Mariehamn,SJK,1490.4,1470.5
2019-124,RoPS,FC Lahti,1526.7,1500.5
2019-125,FC Inter,KPV,1528.2,1475.4
2019-126,Ilves,HIFK,1505.7,1487.0
2019-127,KPV,FC Honka,1456.5,1502.9
2019-128,SJK,KuPS,1453.5,1541.1
2019-129,Ilves,FC Inter,1487.4,1546.5
2019-13,FC Honka,IFK Mariehamn,1483.2,1510.1
2019-130,VPS,HIFK,1488.6,1475.8
2019-131,FC Lahti,IFK Mariehamn,1481.7,1528.9
2019-132,HJK,RoPS,1525.8,1531.0
